Neighborhood,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,MasVnrArea,Foundation,TotalBsmtSF,CentralAir,Electrical,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,PavedDrive,SalePrice
12,5,1958,1965,3,0.0,1,1029,1,4,1339,1339,1,6,0,1958.0,1,294,2,139000
16,8,2005,2006,1,380.0,2,1158,1,4,1158,2376,3,9,1,2005.0,3,853,2,325300
9,7,1930,1950,1,0.0,2,637,1,1,1108,1108,1,6,1,1930.0,1,280,0,139400
5,8,2002,2002,3,281.0,2,1777,1,4,1795,1795,2,7,1,2002.0,2,534,2,230000
10,5,1976,1976,1,0.0,2,1040,1,4,1060,1060,1,6,1,1976.0,2,572,2,129900
19,5,1968,2001,1,0.0,1,1060,1,4,1060,1060,1,6,1,1968.0,1,270,2,154000
16,8,2007,2007,1,640.0,2,1566,1,4,1600,1600,2,7,1,2007.0,3,890,2,256300
12,5,1951,2000,1,0.0,1,900,1,4,900,900,1,5,0,2005.0,2,576,2,134800
16,8,2007,2008,1,200.0,2,1704,1,4,1704,1704,2,7,1,2008.0,3,772,2,306000
12,5,1957,1997,1,0.0,1,1484,1,4,1600,1600,1,6,2,1957.0,1,319,2,207500
3,4,1927,1950,1,0.0,0,520,0,4,520,520,1,4,0,1920.0,1,240,2,68500
9,4,1920,1950,2,0.0,0,649,0,4,649,1317,1,6,0,1920.0,1,250,0,40000
19,5,1966,2006,1,0.0,1,1228,1,4,1228,1228,1,6,0,1966.0,1,271,2,149350
5,8,2007,2007,1,0.0,2,1234,1,4,1234,1234,2,7,0,2007.0,2,484,2,179900
12,5,1959,1959,3,0.0,1,1398,1,4,1700,1700,1,6,1,1959.0,2,447,2,165500
16,9,2005,2005,3,246.0,2,1561,1,4,1561,1561,2,6,1,2005.0,2,556,2,277500
16,8,2004,2005,1,132.0,2,1117,1,4,1132,2452,3,9,1,2004.0,3,691,2,309000
5,5,1994,1995,1,0.0,2,1097,1,4,1097,1097,1,6,0,1995.0,2,672,2,145000
12,5,1954,1990,3,650.0,1,1297,1,4,1297,1297,1,5,1,1954.0,2,498,2,153000
12,5,1953,2007,1,0.0,1,1057,1,4,1057,1057,1,5,0,1953.0,1,246,2,109000
7,4,1955,1955,1,0.0,2,0,0,2,1152,1152,2,6,0,0.0,0,0,0,82000
12,6,1965,1965,1,101.0,1,1088,1,4,1324,1324,2,6,1,1965.0,2,440,2,160000
23,5,1959,1959,1,0.0,1,1350,1,4,1328,1328,1,5,2,1959.0,1,308,1,170000
20,5,1983,1983,1,0.0,1,840,1,4,884,884,1,5,0,1983.0,2,504,2,144000
5,5,1975,1980,3,0.0,1,938,1,4,938,938,1,5,0,1977.0,1,308,2,130250
12,5,1959,1959,1,0.0,1,1150,1,0,1150,1150,1,6,0,1959.0,1,300,2,141000
16,9,2005,2005,3,412.0,2,1752,1,4,1752,1752,2,6,1,2005.0,2,576,2,319900
11,7,2003,2003,1,0.0,2,1434,1,4,1518,2149,1,6,1,2003.0,2,670,2,239686
21,8,2006,2006,1,0.0,2,1656,1,4,1656,1656,2,7,0,2006.0,3,826,2,249700
17,4,1920,2008,1,0.0,0,736,1,4,736,1452,2,8,0,0.0,0,0,0,113000
19,5,1966,1966,1,0.0,1,955,1,4,955,955,1,6,0,1966.0,1,386,2,127000
8,6,1997,1997,1,0.0,2,794,1,4,794,1470,2,6,0,1997.0,2,388,2,177000
3,6,1934,1950,1,0.0,2,816,1,4,816,1176,1,6,1,1985.0,2,528,2,114500
9,5,1963,1963,1,0.0,1,816,0,4,816,816,1,5,0,1963.0,2,516,2,110000
24,9,1981,1987,1,0.0,1,1842,1,4,1842,1842,0,5,1,1981.0,3,894,2,385000
12,5,1955,1955,1,0.0,1,384,1,4,1360,1360,1,6,1,1962.0,2,572,2,130000
12,6,1964,1964,1,272.0,1,1425,1,4,1425,1425,2,7,1,1964.0,2,576,2,180500
21,8,1999,2000,1,456.0,2,970,1,4,983,1739,2,7,0,1999.0,2,480,2,172500
5,7,2004,2004,1,0.0,2,860,1,4,860,1720,2,7,0,2004.0,2,565,2,196500
22,10,2006,2006,3,1031.0,2,1410,1,4,1426,2945,3,10,1,2006.0,3,641,2,438780
5,5,1972,1972,1,0.0,1,780,1,4,780,780,1,4,0,1973.0,1,352,2,124900
20,6,2004,2004,1,0.0,2,1158,1,4,1158,1158,1,5,0,2006.0,2,576,2,158000
9,5,1920,1996,1,0.0,0,530,0,4,581,1111,1,6,0,1935.0,1,288,0,101000
16,8,2006,2006,1,178.0,2,1370,1,4,1370,1370,2,6,1,2006.0,2,484,2,202500
17,7,1921,1950,1,0.0,0,576,1,4,902,1710,2,9,0,1990.0,2,480,2,140000
5,7,1997,1998,1,573.0,2,1057,1,4,1057,2034,2,8,0,1998.0,2,645,2,219500
16,8,2004,2005,1,344.0,2,1143,1,4,1143,2473,2,9,1,2004.0,3,852,2,317000
12,7,1970,1989,1,287.0,1,1947,1,4,2207,2207,2,7,1,1970.0,2,576,2,180000
5,7,2003,2003,1,167.0,2,1453,1,4,1479,1479,2,7,0,2003.0,2,558,2,226000
17,4,1945,1950,1,0.0,1,747,1,4,747,747,1,4,0,1945.0,1,220,2,80000
4,7,1953,1953,1,0.0,1,1304,1,4,1304,2287,2,7,1,1953.0,2,667,2,225000
12,7,1973,1973,1,1115.0,1,2223,1,4,2223,2223,2,8,2,1973.0,2,516,2,244000
11,4,1982,2006,1,0.0,1,845,1,4,845,845,1,4,0,1987.0,2,360,2,129500
8,7,1998,1998,1,40.0,2,832,1,4,885,1718,2,7,1,1998.0,2,427,2,185000
12,5,1954,2003,1,104.0,1,1086,1,4,1086,1086,1,6,0,1989.0,2,490,2,144900
17,3,1915,1950,2,0.0,1,840,0,4,840,1605,2,8,0,1915.0,1,379,2,107400
10,4,1973,1973,1,0.0,1,462,1,4,526,988,1,5,0,1973.0,1,297,2,91000
12,4,1956,1956,1,0.0,1,952,1,0,952,952,1,4,0,1956.0,1,283,2,135750
3,5,1948,2001,1,0.0,1,672,1,4,1072,1285,1,6,0,1948.0,1,240,2,127000
19,4,1968,1968,3,0.0,1,1768,0,4,1768,1768,2,8,0,0.0,0,0,2,136500
17,5,1910,1981,1,0.0,2,440,1,4,682,1230,1,5,0,1966.0,2,440,2,110000
12,6,1968,1968,1,576.0,1,896,1,4,1182,2142,2,8,1,1968.0,1,509,2,193500
11,6,1998,1998,3,443.0,2,1237,1,4,1337,1337,2,5,0,1998.0,2,405,2,153500
21,8,2007,2007,1,468.0,2,1563,1,4,1563,1563,2,6,1,2007.0,3,758,2,245000
12,5,1960,1960,1,66.0,1,1065,1,4,1065,1065,1,6,0,1974.0,2,461,2,126500
8,7,1995,1996,1,22.0,2,384,1,4,804,1474,2,7,1,1995.0,2,400,2,168500
15,8,1991,1992,3,284.0,1,1288,1,4,1301,2417,2,9,1,1991.0,2,462,2,260000
8,6,2005,2005,1,0.0,2,684,1,4,684,1560,2,6,1,2005.0,2,400,2,174000
21,6,2009,2009,1,76.0,2,612,1,4,612,1224,2,4,0,2009.0,2,528,2,164500
9,3,1915,1982,3,0.0,1,1013,0,4,1013,1526,1,6,0,0.0,0,0,0,85000
5,4,1994,1995,1,0.0,2,990,1,4,990,990,1,5,0,0.0,0,0,2,123600
12,4,1950,1950,1,0.0,3,0,1,0,1040,1040,1,4,0,1950.0,2,420,2,109900
12,5,1961,1961,3,203.0,1,1235,1,4,1235,1235,1,6,0,1961.0,2,480,2,98600
6,5,1921,2006,1,0.0,0,876,1,4,964,964,1,5,0,1921.0,2,432,2,163500
17,6,1910,1998,3,0.0,0,1214,0,4,1260,2291,2,9,1,1900.0,2,506,2,133900
5,6,1997,1997,1,0.0,2,824,1,4,905,1786,2,7,0,1997.0,2,684,2,204750
8,6,1993,1993,1,68.0,2,680,1,4,680,1470,2,6,1,1993.0,2,420,2,185000
5,7,1999,1999,1,183.0,2,1588,1,4,1588,1588,2,6,0,1999.0,2,472,2,214000
7,4,1965,1965,3,48.0,1,960,1,1,960,960,1,6,0,1965.0,1,432,1,94750
7,5,1920,1950,1,0.0,0,458,0,4,835,835,1,5,0,1920.0,1,366,2,83000
12,4,1959,1959,1,0.0,1,950,1,4,1225,1225,1,6,0,0.0,0,0,2,128950
14,6,1977,2001,1,28.0,2,1610,1,4,1610,1610,2,6,2,1977.0,2,480,2,205000
20,6,1985,1985,1,336.0,1,741,1,4,977,1732,2,7,1,1985.0,2,476,2,178000
20,5,1979,1979,1,0.0,3,0,1,4,1535,1535,2,8,0,1979.0,2,410,2,118964
5,7,2009,2009,1,0.0,2,1226,1,4,1226,1226,2,6,0,2009.0,3,740,2,198900
9,7,1931,1950,1,600.0,2,1040,1,1,1226,1818,1,7,2,1951.0,1,240,2,169500
21,8,2003,2004,3,768.0,2,1053,1,4,1053,1992,2,9,1,2003.0,2,648,2,250000
17,4,1885,1995,4,0.0,0,641,1,4,1047,1047,1,6,0,1954.0,1,273,0,100000
17,5,1948,1950,1,0.0,1,789,1,4,789,789,1,5,0,1948.0,1,250,2,115000
9,5,1919,2005,1,0.0,1,793,0,1,997,1517,2,7,0,0.0,0,0,0,115000
14,6,1977,1977,3,480.0,1,1844,1,4,1844,1844,2,7,1,1977.0,2,546,2,190000
7,6,1954,1972,1,0.0,1,994,1,4,1216,1855,2,7,0,1954.0,1,325,2,136900
8,7,2000,2000,1,0.0,2,384,1,4,774,1430,2,7,1,2000.0,2,400,2,180000
5,7,2007,2007,1,220.0,2,1264,1,4,1282,2696,2,10,1,2007.0,3,792,2,383970
6,6,1953,1953,3,184.0,1,1809,1,4,2259,2259,2,7,2,1953.0,2,450,2,217000
6,6,1945,2002,2,0.0,1,1028,1,4,1436,2320,2,9,1,1945.0,1,180,2,259500
21,6,1999,1999,1,1129.0,2,729,1,4,729,1458,2,5,1,1999.0,2,440,2,176000
19,5,1962,1962,1,116.0,1,1092,1,4,1092,1092,1,6,1,1962.0,1,288,2,139000
7,5,2006,2007,1,0.0,2,1125,1,4,1125,1125,1,5,0,2007.0,2,430,2,155000
20,7,1990,1990,3,0.0,2,1673,1,4,1699,3222,3,11,2,1990.0,3,594,2,320000
5,6,2005,2006,1,0.0,2,728,1,4,728,1456,2,8,1,2005.0,2,390,2,163990
4,6,1969,1969,0,0.0,1,938,1,4,988,988,1,4,2,1969.0,2,540,2,180000
9,4,1939,1950,1,0.0,2,732,1,4,772,1123,1,4,0,1979.0,1,264,1,100000
12,6,1958,1958,3,135.0,1,1080,1,4,1080,1080,1,5,0,1958.0,1,288,2,136000
20,6,1993,1993,1,0.0,2,1199,1,4,1199,1199,2,5,0,1993.0,2,530,2,153900
14,6,1979,1998,1,0.0,1,1362,1,4,1586,1586,2,7,1,1979.0,2,435,2,181000
9,6,1935,1982,1,0.0,1,520,0,4,520,754,1,5,0,0.0,0,0,0,84500
13,6,1976,1976,1,0.0,1,1078,1,4,958,958,2,5,1,1977.0,2,440,2,128000
17,5,1930,1950,1,0.0,0,672,1,4,840,840,1,5,1,0.0,0,0,0,87000
12,6,1966,1966,1,266.0,1,660,1,4,660,1348,1,6,1,1966.0,2,453,2,155000
12,5,1958,1991,1,85.0,1,1008,1,0,1053,1053,1,6,0,1998.0,2,750,2,150000
12,7,1966,1966,1,309.0,1,924,1,4,1216,2157,2,8,2,1966.0,2,487,2,226000
8,6,2000,2000,1,40.0,2,992,1,4,1022,2054,2,7,1,2000.0,2,390,2,244000
12,5,1959,2002,1,0.0,1,1063,1,4,1327,1327,1,7,0,1974.0,2,624,2,150750
23,8,2001,2002,1,136.0,2,1267,1,4,1296,1296,2,6,0,2001.0,2,471,2,220000
19,5,1968,1993,1,0.0,1,1461,1,4,1721,1721,2,7,1,1968.0,2,440,2,180000
14,7,1970,1970,3,288.0,2,1304,1,4,1682,1682,2,7,1,1970.0,2,530,2,174000
12,5,1967,1967,1,196.0,1,1214,1,4,1214,1214,2,5,1,1967.0,1,318,2,143000
11,7,1988,1989,1,70.0,1,1907,1,4,1959,1959,3,9,0,1989.0,3,766,2,171000
5,8,1999,2000,1,320.0,2,1004,1,4,1004,1852,2,7,2,1999.0,3,660,2,230000
5,6,1997,1997,1,0.0,2,928,1,4,928,1764,2,7,0,1997.0,2,470,2,231500
12,4,1971,1971,1,0.0,1,864,1,4,864,864,1,5,1,0.0,0,0,2,115000
5,7,2005,2005,1,0.0,2,1734,1,4,1734,1734,2,7,0,2005.0,2,660,2,260000
12,5,1952,1952,1,0.0,1,910,1,4,910,1385,2,6,0,2000.0,2,720,2,166000
5,7,1999,1999,1,183.0,2,1490,1,4,1501,1501,2,6,0,1999.0,2,577,2,204000
19,5,1963,1963,1,336.0,1,1728,1,4,1728,1728,2,10,0,1963.0,2,504,2,125000
7,6,2004,2006,1,50.0,2,970,1,4,970,1709,2,7,0,2004.0,2,380,2,130000
3,5,1931,1993,1,0.0,0,715,1,0,875,875,1,5,0,1931.0,1,180,2,105000
8,7,2001,2001,1,180.0,2,884,1,4,884,2035,2,8,1,2001.0,2,434,2,222500
20,7,2004,2005,1,120.0,2,1080,1,4,1080,1080,1,6,0,0.0,0,0,2,141000
3,5,1936,1950,1,0.0,0,896,1,0,896,1344,1,7,0,1936.0,1,240,2,115000
5,5,1975,1975,1,0.0,1,969,1,4,969,969,1,5,0,1975.0,2,440,2,122000
16,8,2007,2008,3,436.0,2,1710,1,4,1710,1710,2,6,1,2007.0,3,866,2,372402
14,6,1971,1971,1,252.0,1,825,1,4,1097,1993,2,8,1,1971.0,2,495,2,190000
4,6,1960,1975,0,0.0,1,1602,1,4,1252,1252,1,4,1,1960.0,2,564,2,235000
17,6,1923,1950,1,0.0,0,1200,1,0,1200,1200,1,7,0,1923.0,1,312,2,125000
7,6,1924,1950,1,0.0,0,572,0,1,572,1096,1,5,0,0.0,0,0,0,79000
12,5,1950,1950,3,0.0,1,0,1,1,1040,1040,1,5,0,1950.0,2,625,2,109500
23,8,2009,2010,1,84.0,2,774,1,4,774,1968,2,8,1,2009.0,3,680,2,269500
21,7,2004,2005,1,0.0,2,991,1,4,991,1947,2,8,1,2004.0,2,678,2,254900
8,7,2005,2006,1,456.0,2,1392,1,4,1392,2462,2,9,1,2006.0,2,576,2,320000
24,6,1984,1984,1,0.0,2,1232,1,4,1232,1232,2,6,0,1984.0,2,516,2,162500
16,9,2003,2004,1,664.0,2,1572,1,4,1572,2668,2,10,2,2003.0,3,726,2,412500
16,7,2005,2005,1,226.0,2,1541,1,4,1541,1541,2,7,1,2005.0,2,532,2,220000
17,4,1956,1956,1,0.0,1,882,1,4,882,882,1,4,0,0.0,0,0,2,103200
17,6,1926,2004,1,0.0,0,1149,1,0,1149,1616,2,5,0,1926.0,1,216,2,152000
7,5,1940,1999,1,0.0,0,644,1,4,808,1355,2,6,0,0.0,0,0,2,127500
4,5,1955,1993,3,0.0,1,1617,1,0,1867,1867,1,7,3,1955.0,1,303,2,190000
16,8,2007,2007,1,300.0,2,1582,1,4,1610,2161,1,8,1,2007.0,3,789,2,325624
8,7,2004,2004,1,0.0,2,840,1,4,840,1720,2,7,1,2004.0,2,440,2,183500
23,8,1981,1981,3,653.0,1,1686,1,4,1707,1707,2,6,1,1981.0,2,511,2,228000
17,5,1941,1950,1,0.0,1,720,1,4,854,1382,1,7,0,1991.0,2,660,2,128500
12,6,1960,1960,3,112.0,1,1080,1,4,1656,1656,1,7,2,1960.0,2,528,1,215000
22,7,1987,1987,1,0.0,2,1064,1,4,1064,1767,2,5,1,1987.0,2,504,2,239000
12,6,1961,1961,1,491.0,1,1362,1,4,1362,1362,1,6,1,1961.0,2,504,2,163000
23,6,1986,1986,1,132.0,1,1606,1,4,1651,1651,2,7,1,1986.0,2,616,2,184000
7,6,1950,2001,1,0.0,1,1202,1,4,2158,2158,2,7,1,1950.0,2,576,2,243000
4,6,1988,1989,1,268.0,2,1151,1,4,1164,2060,2,8,1,1988.0,2,521,2,211000
19,5,1958,1958,1,0.0,1,1052,1,4,1252,1920,2,8,1,1958.0,2,451,2,172500
22,9,2008,2009,3,748.0,2,2216,1,4,2234,2234,2,9,1,2009.0,3,1166,2,501837
17,5,1923,2006,1,0.0,1,968,1,4,968,968,1,5,0,1935.0,2,480,0,100000
21,6,2000,2000,1,456.0,2,756,1,4,769,1525,2,5,1,2000.0,2,440,2,177000
6,7,1920,1950,1,0.0,0,793,1,4,901,1802,1,9,1,1920.0,1,216,2,200100
7,5,1957,2006,3,98.0,2,0,1,4,1340,1340,1,7,1,1957.0,1,252,2,120000
17,7,2003,2003,1,0.0,2,1362,1,4,1362,2082,2,6,0,2003.0,2,484,0,200000
3,5,1908,1991,1,0.0,2,504,1,4,936,1252,1,5,0,1986.0,2,576,2,127000
17,10,1892,1993,1,0.0,0,1107,1,4,1518,3608,2,12,2,1993.0,3,840,2,475000
11,7,1990,1991,1,0.0,2,1188,1,4,1217,1217,2,6,0,1990.0,2,497,2,173000
17,5,1916,1987,1,0.0,1,660,1,4,808,1656,2,8,0,1916.0,1,180,0,135000
20,5,1979,1979,1,275.0,1,1086,1,4,1224,1224,0,6,2,1979.0,2,528,2,153337
22,8,2001,2002,1,0.0,2,1593,1,4,1593,1593,1,5,1,2001.0,2,682,2,286000
6,8,1932,1994,3,0.0,1,853,1,4,1549,2727,2,10,2,1932.0,2,440,2,315000
12,7,1972,2004,1,138.0,1,725,1,4,725,1479,1,7,0,1972.0,2,484,2,184000
5,7,1999,1999,1,0.0,2,1431,1,4,1431,1431,2,6,0,1999.0,2,666,2,192000
7,7,2004,2004,1,50.0,2,970,1,4,970,1709,2,7,0,2004.0,2,380,2,130000
5,5,1972,1972,3,0.0,1,864,1,4,864,864,1,5,0,1989.0,1,352,2,127000
13,6,1976,1976,1,0.0,1,855,1,4,855,1456,2,7,1,1976.0,2,440,2,148500
21,7,2007,2007,3,205.0,2,1726,1,4,1726,1726,2,8,1,2007.0,3,786,2,311872
12,8,1918,1990,1,0.0,2,1360,1,4,1360,3112,2,8,1,1918.0,2,795,2,235000
17,6,1912,1950,1,0.0,1,755,1,4,929,2229,1,8,0,0.0,0,0,2,104000
16,8,2004,2005,3,262.0,2,1713,1,4,1713,1713,2,7,1,2004.0,3,856,2,274900
7,4,2003,2004,1,0.0,2,1121,1,4,1121,1121,2,5,0,2003.0,2,440,2,140000
11,6,1977,1977,1,0.0,1,1196,1,4,1279,1279,2,6,2,1980.0,2,473,2,171500
17,6,1924,1950,1,0.0,0,617,1,4,865,1310,2,6,0,1924.0,1,398,2,112000
5,6,2004,2004,1,205.0,2,848,1,4,848,848,1,3,1,2004.0,2,420,2,149000
17,5,1947,1950,1,0.0,1,720,1,4,720,1284,1,5,0,1948.0,1,240,2,110000
8,7,1990,1990,1,0.0,2,1424,1,4,1442,1442,2,5,0,1990.0,2,500,2,180500
19,5,1962,1962,1,0.0,1,1140,1,4,1696,1696,1,8,1,1962.0,1,349,2,143900
12,4,1960,1960,1,0.0,2,1100,1,4,1100,1100,1,6,1,1960.0,1,312,2,141000
20,7,1988,1989,1,128.0,1,1157,1,4,1180,2062,2,7,1,1988.0,2,454,2,277000
12,6,1964,1964,3,260.0,1,1092,1,4,1092,1092,1,6,0,1964.0,2,504,2,145000
7,5,1925,1950,1,0.0,1,864,0,0,864,864,1,5,0,0.0,0,0,2,98000
7,6,2009,2009,1,0.0,2,1212,1,4,1212,1212,2,6,0,2009.0,2,460,2,186000
21,7,2009,2009,1,0.0,2,900,1,4,932,1852,2,7,1,2009.0,2,644,2,252678
5,5,1995,1995,1,0.0,2,990,1,4,990,990,1,5,0,1996.0,2,576,2,156000
5,6,1977,1977,1,153.0,1,689,1,4,689,1392,1,6,0,1977.0,1,299,2,161750
12,5,1957,1996,1,64.0,1,1070,1,4,1236,1236,1,6,1,1957.0,1,447,2,134450
5,7,2004,2004,1,266.0,2,1436,1,4,1436,1436,2,8,0,2004.0,2,484,2,210000
17,4,1925,1950,1,0.0,1,686,0,4,810,1328,1,8,0,1940.0,1,210,2,107000
6,7,1939,2006,1,312.0,1,798,1,4,1137,1954,1,8,2,1939.0,2,431,2,311500
0,7,2005,2006,1,16.0,2,1248,1,4,1248,1248,2,5,0,2005.0,2,438,2,167240
5,7,2006,2006,1,0.0,2,1498,1,4,1498,1498,2,5,0,2006.0,2,675,2,204900
8,6,2002,2002,1,0.0,2,1010,1,4,1010,2267,2,8,1,2002.0,2,390,2,200000
14,6,1975,1975,1,0.0,1,713,1,4,811,1552,2,6,1,1975.0,2,434,2,179900
12,4,1971,1971,1,0.0,1,864,1,4,864,864,1,4,0,1989.0,2,576,2,97000
16,10,2003,2003,3,922.0,2,2392,1,4,2392,2392,2,8,1,2003.0,3,968,2,386250
2,5,1971,1971,1,142.0,1,630,1,4,630,1302,2,6,0,1991.0,1,280,2,112000
15,7,1995,1995,1,290.0,2,1203,1,4,1214,2520,2,9,1,1995.0,3,721,2,290000
2,6,1970,1970,1,127.0,1,483,1,4,483,987,1,5,0,1987.0,1,280,2,106000
19,5,1967,1967,1,0.0,1,912,1,4,912,912,1,5,1,1974.0,1,336,2,125000
0,7,2005,2006,1,16.0,2,1373,1,4,1555,1555,2,7,1,2005.0,2,430,2,192500
12,6,1959,1959,3,220.0,1,1194,1,4,1194,1194,1,6,0,1959.0,1,312,2,148000
15,8,1995,1996,1,506.0,2,1462,1,4,1490,2794,2,9,1,1995.0,3,810,2,403000
2,6,1972,1972,1,297.0,1,483,1,4,483,987,1,5,1,1972.0,1,288,2,94500
5,5,1976,1976,1,0.0,1,894,1,4,894,894,1,5,0,1976.0,1,308,2,128200
2,6,1971,1971,1,604.0,1,483,1,4,483,987,1,5,0,1971.0,1,264,2,89500
5,7,2004,2004,1,98.0,2,1414,1,4,1414,1414,2,6,0,2004.0,2,494,2,185500
20,7,1993,2003,1,0.0,2,996,1,4,1014,1744,2,7,0,1993.0,2,457,2,194500
16,8,2007,2007,3,254.0,2,1694,1,4,1694,1694,2,7,0,2007.0,3,818,2,318000
7,6,1945,1950,1,0.0,1,735,1,0,798,1487,1,7,1,1949.0,1,220,2,113000
21,8,2008,2008,1,36.0,2,1566,1,4,1566,1566,2,7,0,2008.0,2,750,2,262500
17,5,1945,1997,1,0.0,1,686,1,4,866,866,1,4,0,0.0,0,0,2,110500
17,5,1900,1950,1,0.0,0,540,0,0,889,1440,1,6,0,1940.0,1,352,2,79000
20,6,1980,1980,1,0.0,1,626,1,4,626,1217,1,6,1,1980.0,1,288,2,120000
20,7,1994,2002,1,0.0,2,948,1,4,1222,2110,2,8,2,1994.0,2,463,2,205000
14,7,1988,1988,1,102.0,1,1845,1,4,1872,1872,2,6,1,1988.0,2,604,2,241500
17,6,1910,1950,1,0.0,4,1020,0,2,908,1928,2,9,0,1910.0,1,440,2,137000
12,6,1954,1954,3,0.0,1,1367,1,4,1375,1375,1,5,1,1954.0,2,451,2,140000
5,7,2003,2003,1,101.0,2,840,1,4,840,1668,2,8,0,2003.0,2,500,2,180000
4,6,1958,2006,1,472.0,1,1444,1,4,1444,2144,2,7,2,1958.0,2,389,2,277000
3,3,1940,1966,1,0.0,1,728,1,4,1306,1306,1,6,0,0.0,0,0,2,76500
6,8,2006,2007,3,481.0,2,1573,1,4,1625,1625,2,5,1,2006.0,2,538,2,235000
20,6,2004,2004,1,0.0,2,798,1,4,798,1640,2,6,0,2004.0,2,520,2,173000
12,6,1964,1991,3,108.0,1,1302,1,4,1302,1302,2,7,0,1964.0,1,309,2,158000
12,5,1957,1957,1,0.0,1,1314,1,4,1314,1314,1,5,0,1957.0,1,294,2,145000
8,7,1999,1999,1,302.0,2,975,1,4,1005,2291,2,8,1,1999.0,2,429,2,230000
21,6,2003,2003,1,0.0,2,864,1,4,864,1728,2,7,0,2003.0,2,673,2,207500
5,7,2006,2006,1,180.0,2,1604,1,4,1604,1604,2,8,1,2006.0,2,660,2,220000
5,7,2001,2001,1,172.0,2,963,1,4,963,1792,2,7,1,2001.0,2,564,2,231500
17,5,1956,1956,1,0.0,2,0,1,0,882,882,1,4,0,1956.0,1,308,2,97000
12,6,1962,1962,1,399.0,1,1362,1,4,1382,1382,1,6,1,1991.0,2,884,2,176000
5,8,2007,2007,1,270.0,2,1482,1,4,1482,2574,2,10,1,2007.0,3,868,2,276000
19,6,1977,1995,1,46.0,1,506,1,4,1212,1212,1,6,1,1978.0,2,492,2,151000
17,5,1929,2001,1,0.0,0,926,1,4,926,1316,1,6,0,1974.0,2,484,2,130000
17,5,1925,2004,1,0.0,0,680,0,2,764,764,1,4,0,1965.0,2,504,0,73000
14,6,1981,1981,1,210.0,1,1422,1,4,1422,1422,2,7,1,1981.0,2,576,2,175500
8,6,1997,1997,1,0.0,2,802,1,4,802,1511,2,8,1,1997.0,2,413,2,185000
18,5,1939,1997,1,0.0,2,720,1,4,1052,2192,2,8,1,1939.0,1,240,2,179500
9,5,1940,1955,1,0.0,1,740,1,4,778,778,1,4,1,1966.0,1,924,2,120500
7,6,1976,1976,3,174.0,1,1143,1,4,1113,1113,1,6,1,1987.0,1,504,2,148000
21,8,2006,2006,1,0.0,2,1095,1,4,1095,1939,2,8,1,2006.0,3,1053,2,266000
4,7,1954,2005,0,0.0,1,1385,1,4,1363,1363,1,5,2,1954.0,2,439,2,241500
15,8,1999,2007,1,348.0,2,1152,1,4,1164,2270,2,9,1,1999.0,3,671,2,290000
12,6,1958,1988,3,183.0,1,1240,1,4,1632,1632,2,6,1,1958.0,1,338,2,139000
11,5,1982,1982,1,0.0,1,816,1,4,816,816,1,5,0,1982.0,1,264,2,124500
