MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SalePrice
RL,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,1494,GasA,Ex,Y,SBrkr,1494,1494,2,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,none,none,none,279500
RL,Pave,none,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,1253,GasA,TA,Y,SBrkr,1253,1253,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352,TA,TA,Y,none,GdWo,none,157000
RM,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,832,GasA,Ex,Y,FuseA,854,854,1,TA,5,Typ,0,none,Detchd,1991.0,Unf,2,576,TA,TA,Y,none,GdPrv,none,132000
RL,Pave,none,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,1004,GasA,Ex,Y,SBrkr,1004,1004,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,none,none,Shed,149000
RL,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,none,none,none,none,none,0,GasA,TA,Y,SBrkr,1296,1296,2,TA,6,Typ,0,none,CarPort,1967.0,Unf,2,516,TA,TA,Y,none,none,Shed,90000
RL,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,1114,GasA,Ex,Y,SBrkr,1114,1114,1,Gd,6,Typ,0,none,Detchd,2004.0,Unf,2,576,TA,TA,Y,none,none,none,159000
RL,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,1029,GasA,TA,Y,SBrkr,1339,1339,1,TA,6,Min1,0,none,Attchd,1958.0,Unf,1,294,TA,TA,Y,none,MnPrv,none,139000
RL,Pave,none,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1158,GasA,Ex,Y,SBrkr,1158,2376,3,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,none,none,none,325300
RM,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,637,GasA,Ex,Y,FuseF,1108,1108,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,N,none,GdPrv,none,139400
RL,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1777,GasA,Ex,Y,SBrkr,1795,1795,2,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,none,none,none,230000
RM,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,1040,GasA,TA,Y,SBrkr,1060,1060,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,none,none,none,129900
RL,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,1060,GasA,Ex,Y,SBrkr,1060,1060,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,none,MnPrv,none,154000
RL,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1566,GasA,Ex,Y,SBrkr,1600,1600,2,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,none,none,none,256300
RL,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,900,GasA,TA,Y,SBrkr,900,900,1,Gd,5,Typ,0,none,Detchd,2005.0,Unf,2,576,TA,TA,Y,none,none,none,134800
RL,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1704,GasA,Ex,Y,SBrkr,1704,1704,2,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,none,none,none,306000
RL,Pave,none,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,1484,GasA,TA,Y,SBrkr,1600,1600,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,319,TA,TA,Y,none,none,none,207500
RM,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,520,GasA,Fa,N,SBrkr,520,520,1,Fa,4,Typ,0,none,Detchd,1920.0,Unf,1,240,Fa,TA,Y,none,none,none,68500
C (all),Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,649,GasA,TA,N,SBrkr,649,1317,1,TA,6,Typ,0,none,Detchd,1920.0,Unf,1,250,TA,Fa,N,none,MnPrv,none,40000
RL,Pave,none,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1228,GasA,Gd,Y,SBrkr,1228,1228,1,Gd,6,Typ,0,none,Attchd,1966.0,Unf,1,271,TA,TA,Y,none,MnPrv,none,149350
RL,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1234,GasA,Ex,Y,SBrkr,1234,1234,2,Gd,7,Typ,0,none,Attchd,2007.0,RFn,2,484,TA,TA,Y,none,none,none,179900
RL,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1398,GasA,Gd,Y,SBrkr,1700,1700,1,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2,447,TA,TA,Y,none,none,none,165500
RL,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1561,GasA,Ex,Y,SBrkr,1561,1561,2,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2,556,TA,TA,Y,none,none,none,277500
RL,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1117,GasA,Ex,Y,SBrkr,1132,2452,3,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,691,TA,TA,Y,none,none,none,309000
RL,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,1097,GasA,Ex,Y,SBrkr,1097,1097,1,TA,6,Typ,0,none,Attchd,1995.0,Unf,2,672,TA,TA,Y,none,none,none,145000
RL,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1297,GasA,Gd,Y,SBrkr,1297,1297,1,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2,498,TA,TA,Y,none,none,none,153000
RL,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,1057,GasA,TA,Y,SBrkr,1057,1057,1,Gd,5,Typ,0,none,Detchd,1953.0,Unf,1,246,TA,TA,Y,none,none,none,109000
RL,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,none,none,none,none,none,0,GasA,TA,N,FuseP,1152,1152,2,Fa,6,Typ,0,none,none,0.0,none,0,0,none,none,N,none,none,none,82000
RL,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1088,GasA,Ex,Y,SBrkr,1324,1324,2,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2,440,TA,TA,Y,none,GdWo,none,160000
RL,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,1350,GasA,Gd,Y,SBrkr,1328,1328,1,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,1,308,TA,TA,P,none,none,none,170000
RL,Pave,none,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,840,GasA,Gd,Y,SBrkr,884,884,1,Gd,5,Typ,0,none,Attchd,1983.0,RFn,2,504,TA,Gd,Y,none,MnPrv,none,144000
RL,Pave,none,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,938,GasA,TA,Y,SBrkr,938,938,1,TA,5,Typ,0,none,Detchd,1977.0,Unf,1,308,TA,TA,Y,none,MnPrv,none,130250
RL,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,1150,GasA,Ex,Y,FuseA,1150,1150,1,TA,6,Typ,0,none,Attchd,1959.0,RFn,1,300,TA,TA,Y,none,none,none,141000
RL,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1752,GasA,Ex,Y,SBrkr,1752,1752,2,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2,576,TA,TA,Y,none,none,none,319900
RL,Pave,none,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1434,GasA,Ex,Y,SBrkr,1518,2149,1,Gd,6,Typ,1,Ex,Attchd,2003.0,RFn,2,670,TA,TA,Y,none,none,none,239686
FV,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1656,GasA,Ex,Y,SBrkr,1656,1656,2,Gd,7,Typ,0,none,Attchd,2006.0,RFn,3,826,TA,TA,Y,none,none,none,249700
RM,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,736,GasA,Gd,Y,SBrkr,736,1452,2,TA,8,Typ,0,none,none,0.0,none,0,0,none,none,N,none,none,none,113000
RL,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,955,GasA,Ex,Y,SBrkr,955,955,1,TA,6,Typ,0,none,Attchd,1966.0,Unf,1,386,TA,TA,Y,none,MnPrv,none,127000
RL,Pave,none,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,794,GasA,Gd,Y,SBrkr,794,1470,2,TA,6,Typ,0,none,Attchd,1997.0,Fin,2,388,TA,TA,Y,none,none,none,177000
RM,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,816,GasA,TA,Y,SBrkr,816,1176,1,TA,6,Typ,1,Gd,Detchd,1985.0,Unf,2,528,TA,TA,Y,none,MnPrv,Shed,114500
RM,Grvl,none,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,GLQ,816,GasA,TA,N,SBrkr,816,816,1,TA,5,Typ,0,none,CarPort,1963.0,Unf,2,516,TA,TA,Y,none,none,none,110000
RL,Pave,none,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,Unf,1842,GasA,Gd,Y,SBrkr,1842,1842,0,Gd,5,Typ,1,Gd,Attchd,1981.0,Fin,3,894,TA,TA,Y,none,none,none,385000
RL,Pave,none,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,384,GasA,TA,Y,SBrkr,1360,1360,1,TA,6,Min1,1,TA,Detchd,1962.0,Unf,2,572,TA,TA,Y,none,MnPrv,none,130000
RL,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,1425,GasA,Gd,Y,SBrkr,1425,1425,2,TA,7,Typ,1,Gd,Attchd,1964.0,RFn,2,576,TA,TA,Y,none,none,none,180500
FV,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,970,GasA,Ex,Y,SBrkr,983,1739,2,Gd,7,Typ,0,none,Attchd,1999.0,Fin,2,480,TA,TA,Y,none,none,none,172500
RL,Pave,none,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,860,GasA,Ex,Y,SBrkr,860,1720,2,Gd,7,Typ,0,none,Attchd,2004.0,RFn,2,565,TA,TA,Y,none,none,none,196500
RL,Pave,none,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031.0,Ex,TA,PConc,Ex,TA,Gd,Unf,Unf,1410,GasA,Ex,Y,SBrkr,1426,2945,3,Gd,10,Typ,1,Gd,BuiltIn,2006.0,Fin,3,641,TA,TA,Y,none,none,none,438780
RL,Pave,none,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,1972,1972,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,780,GasA,Ex,Y,SBrkr,780,780,1,TA,4,Typ,0,none,Detchd,1973.0,Unf,1,352,TA,TA,Y,none,MnPrv,none,124900
RL,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,Unf,1158,GasA,Ex,Y,SBrkr,1158,1158,1,Gd,5,Typ,0,none,Detchd,2006.0,Unf,2,576,TA,TA,Y,none,none,none,158000
RM,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,1920,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,Fa,No,Unf,Unf,530,GasA,TA,N,SBrkr,581,1111,1,Fa,6,Typ,0,none,Detchd,1935.0,Unf,1,288,TA,TA,N,none,none,none,101000
RL,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,Gd,Mn,GLQ,Unf,1370,GasA,Ex,Y,SBrkr,1370,1370,2,Gd,6,Typ,1,Gd,Attchd,2006.0,RFn,2,484,TA,TA,Y,none,none,none,202500
RM,Pave,none,IR1,Bnk,AllPub,Inside,Gtl,OldTown,RRAn,Feedr,1Fam,2Story,7,1921,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,576,GasA,Gd,Y,SBrkr,902,1710,2,TA,9,Typ,0,none,Detchd,1990.0,Unf,2,480,TA,TA,Y,none,GdPrv,none,140000
RL,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,573.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,1057,GasA,Ex,Y,SBrkr,1057,2034,2,Gd,8,Typ,0,none,Attchd,1998.0,RFn,2,645,TA,TA,Y,none,GdPrv,none,219500
RL,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,344.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1143,GasA,Ex,Y,SBrkr,1143,2473,2,Gd,9,Typ,1,Gd,BuiltIn,2004.0,RFn,3,852,TA,TA,Y,none,none,none,317000
